23,58,
24,62,
25,58,
26,62,
27,62,
28,63,
29,62,
30,63,
31,62,
32,63,
33,62,
34,63,
35,62,
1,60,
2,62,
3,59,
4,60,
5,60,
6,60,
7,60,
8,60,
9,59,
10,57,
11,61,
12,59,
13,60,
14,59,
15,61,
16,62,
17,60,
18,60,
19,60,
20,61,
21,61,
22,60,
23,61,
24,61,
25,60,
26,62,
27,62,
28,62,
29,62,
30,61,
31,59,
32,61,
33,58,
1,62,
2,63,
3,61,
4,58,
5,61,
6,62,
7,61,
8,61,
9,61,
10,60,
11,58,
12,56,
13,58,
14,57,
15,58,
16,59,
17,59,
18,59,
19,62,
20,59,
21,63,
22,59,
23,61,
24,62,
25,62,
26,62,
27,62,
28,63,
29,61,
30,62,
31,60,
32,63,
33,57,
1,57,
2,57,
3,60,
4,60,
5,61,
6,58,
7,60,
8,60,
9,60,
10,60,
11,61,
12,61,
13,62,
14,61,
15,61,
16,62,
17,57,
18,60,
19,61,
20,60,
21,58,
22,61,
23,63,
24,62,
25,63,
26,62,
27,61,
28,62,
29,63,
30,62,
1,58,
2,56,
3,60,
4,60,
5,60,
6,58,
7,60,
8,62,
9,60,
10,62,
11,61,
12,63,
13,62,
14,60,
15,60,
16,59,
17,62,
18,63,
19,61,
20,62,
21,60,
22,61,
23,61,
24,61,
25,60,
26,59,
27,59,
28,57,
29,58,
30,60,
31,61,
32,59,
33,59,
1,60,
2,62,
3,60,
4,62,
5,63,
6,62,
7,63,
8,61,
9,63,
10,63,
11,62,
12,63,
13,62,
14,63,
15,48,
16,41,
17,61,
18,63,
19,62,
20,63,
21,62,
22,57,
23,61,
24,59,
25,61,
26,63,
27,59,
28,60,
29,49,
30,59,
31,61,
32,62,
33,55,
1,58,
2,58,
3,58,
4,62,
5,60,
6,61,
7,62,
8,62,
9,61,
10,62,
11,58,
12,59,
13,58,
14,57,
15,59,
16,57,
17,61,
18,55,
19,58,
20,57,
21,60,
22,58,
23,60,
24,57,
25,59,
26,58,
27,60,
28,63,
29,61,
30,62,
31,58,
32,57,
33,58,
1,60,
2,61,
3,56,
4,54,
5,61,
6,62,
7,59,
8,58,
9,61,
10,57,
11,63,
12,58,
13,61,
14,59,
15,59,
16,54,
17,58,
18,58,
19,58,
20,56,
21,60,
22,60,
23,58,
24,57,
25,61,
26,61,
27,63,
28,61,
29,62,
30,62,
31,63,
32,60,
33,61,
34,61,
35,59,
1,57,
2,59,
3,55,
4,58,
5,61,
6,61,
7,60,
8,60,
9,60,
10,62,
11,59,
12,60,
13,63,
14,59,
15,61,
16,61,
17,61,
18,62,
19,61,
20,59,
21,63,
22,62,
23,61,
24,60,
25,61,
26,61,
27,61,
28,57,
29,56,
30,58,
31,58,
32,59,
33,59,
1,61,
2,62,
3,53,
4,61,
5,58,
6,61,
7,61,
8,63,
9,60,
10,62,
11,58,
12,60,
13,58,
14,59,
15,59,
16,60,
17,58,
18,62,
19,60,
20,62,
21,62,
22,62,
23,63,
24,62,
25,62,
26,61,
27,60,
28,62,
29,61,
30,59,
31,59,
32,59,
33,61,
1,61,
2,60,
3,61,
4,57,
5,59,
6,61,
7,62,
8,61,
9,60,
10,60,
11,62,
12,63,
13,58,
14,60,
15,60,
16,62,
17,58,
18,59,
19,60,
20,62,
21,59,
22,59,
23,60,
24,60,
25,60,
26,59,
27,60,
28,60,
29,60,
30,62,
31,61,
32,62,
33,60,
1,57,
2,60,
3,60,
4,59,
5,57,
6,61,
7,57,
8,62,
9,58,
10,59,
11,58,
12,61,
13,59,
14,60,
15,59,
16,62,
17,60,
18,62,
19,60,
20,62,
21,60,
22,61,
23,62,
24,60,
25,59,
26,60,
27,61,
28,58,
29,62,
30,60,
31,61,
